"state","state_fips_code","county_name","confirmed_cases","deaths","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","median_income","income_less_50K","income_50K_100K","income_100K_150K","income_150K_more","rent_under_50_percent","rent_over_50_percent","median_age","male_0_20","male_21_49","male_50_above","female_0_20","female_21_49","female_50_above","unemployed_pop","employed_pop","commute","worked_at_home","walked_to_work"
"ID",16,"Benewah County",517,6,9050,4568,4482,7667,22,91,311,733,0,43472,1980,1069,324,135,675,114,46.5,1262,1225,2366,1090,1281,2304,367,3450,5680,139,228
"ID",16,"Bonner County",2429,23,41855,20980,20875,39157,51,301,1210,261,0,45607,9637,5461,1470,995,3110,1279,47.7,4993,6114,10940,4703,6102,10807,790,17199,28595,1699,294
"ID",16,"Canyon County",22942,245,207027,102480,104547,146850,851,1656,51487,1376,80,46426,37704,22464,6512,2623,15735,4083,33.2,36059,37971,31199,34653,38332,33825,6934,88055,155204,5660,1439
"ID",16,"Nez Perce County",3215,45,40014,19811,20203,34907,142,351,1486,2159,6,51804,7835,5634,1852,987,3487,958,41.3,5262,7090,8054,4786,7076,9084,840,18977,33368,899,517
"ID",16,"Bonneville County",11174,125,110404,55082,55322,92311,550,927,13987,324,58,54150,17590,12993,4977,2840,8402,2315,32.6,19950,19831,16684,18736,19966,17968,1910,48734,88340,2178,789
"IL",17,"Schuyler County",624,4,7181,3894,3287,6709,398,0,18,1,0,47321,1488,967,285,116,456,38,46.6,787,1407,1802,746,1028,1669,216,2919,5295,132,96
"IL",17,"Scott County",385,1,5109,2503,2606,4965,6,4,60,25,0,48542,1066,691,238,116,334,53,43.7,650,822,1094,617,860,1257,227,2349,4310,81,61
"IL",17,"Hamilton County",717,14,8259,4045,4214,8170,49,10,23,7,0,47293,1732,1048,392,241,385,91,43.6,1042,1365,1780,1068,1288,2055,155,3751,6792,154,69
"IL",17,"Alexander County",389,7,6776,3258,3518,4190,2343,11,68,43,0,31014,1706,513,113,100,470,162,42.3,978,905,1487,889,1121,1637,194,2164,4016,55,37
"IL",17,"Pulaski County",613,3,5691,2760,2931,3622,1737,16,119,12,15,34655,1436,562,209,39,360,123,43.3,799,800,1285,687,902,1411,230,1971,3498,110,47
"IL",17,"Johnson County",1211,9,12899,7342,5557,10922,1429,19,430,10,20,45743,2385,1290,633,178,498,141,42.5,1538,3193,2793,1265,1734,2830,339,4165,7306,242,172
"IL",17,"De Witt County",1147,20,16176,8085,8091,14409,68,19,414,26,11,55411,3027,2311,939,427,1021,162,42.8,2119,2830,3321,1936,2696,3770,575,8112,14854,387,116
"IL",17,"Putnam County",346,1,5771,2957,2814,5335,17,21,308,0,0,64741,994,879,356,209,330,57,47.5,738,899,1449,591,849,1456,165,2983,5490,73,50
"IL",17,"Mason County",1166,39,13904,6948,6956,13445,85,23,142,14,1,44695,3238,1886,607,303,942,213,45.5,1656,2306,3216,1596,2166,3442,537,6173,11232,156,232
"IL",17,"Greene County",1253,30,13311,6682,6629,12874,170,24,54,32,0,44502,2856,1563,488,180,810,136,42.7,1710,2368,2823,1612,2212,3084,423,5854,10436,236,196
"IL",17,"Massac County",1018,28,14594,7017,7577,12944,889,26,393,16,0,42168,3428,1927,509,220,978,479,43.8,1809,2407,2970,1859,2416,3637,475,5563,10418,131,80
"IL",17,"Moultrie County",1374,20,14711,7173,7538,14277,85,30,181,30,8,53979,2722,1997,762,375,1097,200,39.9,2123,2456,2825,1998,2489,3395,213,6993,12058,407,174
"IL",17,"Marshall County",670,12,11925,5938,5987,11311,53,32,365,11,0,55173,2221,1612,762,305,593,135,46.3,1426,1958,2760,1353,1799,3043,366,5514,10046,197,146
"IL",17,"Montgomery County",3053,39,29173,15199,13974,26509,1756,34,502,50,0,47807,5945,3504,1173,612,1496,474,42.4,3436,6152,6040,3185,4575,6755,663,10750,19812,450,185
"IL",17,"Cumberland County",1085,15,10899,5453,5446,10542,10,38,121,24,0,50680,2100,1414,589,184,660,98,41.9,1404,1927,2287,1387,1779,2484,272,5135,9352,198,103
"IL",17,"Edwards County",462,8,6570,3218,3352,6355,27,56,84,0,0,49632,1415,926,361,108,369,36,43.6,844,1112,1368,834,1075,1594,204,3136,5718,132,72
"IL",17,"Washington County",1452,19,14260,7182,7078,13719,75,58,200,42,1,54520,2724,1903,873,397,837,182,43,1806,2466,3183,1677,2337,3369,331,7153,13054,241,174
"IL",17,"Lawrence County",2176,21,16457,9034,7423,13920,1419,62,623,46,0,44504,3478,1989,562,242,1329,233,41.2,1766,4350,3183,1873,2367,3431,363,6361,11304,311,166
"IL",17,"Piatt County",1174,11,16433,8122,8311,15235,175,64,209,15,34,67360,2643,2271,1082,680,950,164,43,2219,2666,3586,2074,2704,3923,409,8673,16320,280,118
"IL",17,"Ford County",1388,42,13470,6647,6823,12707,122,64,407,51,0,50851,2795,1893,685,311,1207,233,43.2,1812,2261,2773,1691,2142,3284,437,6177,10889,299,272
"IL",17,"Crawford County",1761,20,19214,10067,9147,17487,794,68,557,10,2,47468,4040,2199,962,464,1149,327,42.5,2255,4151,4022,2144,2979,4435,539,8102,15112,191,128
"IL",17,"Hancock County",1486,24,18264,9083,9181,17594,121,80,262,2,0,51460,3605,2813,712,393,1049,162,46,2287,2925,4185,2052,2777,4694,582,8292,15016,438,174
"IL",17,"Jersey County",2225,40,22215,10855,11360,21341,103,88,286,28,4,56320,3960,2860,1436,575,1186,225,42.5,3030,3650,4577,2732,3883,5088,694,10387,18452,404,350
"IL",17,"White County",1334,22,14186,6957,7229,13705,61,100,198,12,2,46279,3285,2028,472,359,912,170,43.8,1748,2364,3100,1701,2300,3509,534,6006,11162,176,110
"IL",17,"Saline County",2030,38,24430,12028,12402,22375,841,168,423,21,10,40722,5760,2779,1012,387,1812,449,42,3265,4193,4960,2952,4160,5816,1241,9723,18222,142,142
"IL",17,"Macoupin County",3849,68,45960,22691,23269,44261,358,200,510,33,8,53890,8822,6146,2493,1202,2757,1108,43.1,5950,7802,9729,5562,7684,10826,1876,20963,37392,1073,519
"IL",17,"Christian County",2986,57,33562,17040,16522,31953,553,208,523,86,5,50668,6838,4833,1477,744,2508,467,42.7,4106,6477,6927,3942,5474,7679,728,14987,27612,565,263
